产品名称,单位,产量,比上年增长（%）,来源文件,年份,表格编号
原煤,亿吨,47.8,1.2,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,21
原油,万吨,21289.1,1.8,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,21
天然气,亿立方米,2464.5,6.0,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,21
发电量,亿千瓦时,100868.8,6.7,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,21
其中：火电[26],亿千瓦时,63742.6,1.7,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,21
水电,亿千瓦时,14256.8,10.9,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,21
核电,亿千瓦时,4508.5,3.7,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,21
风电,亿千瓦时,9970.4,12.5,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,21
太阳能发电,亿千瓦时,8390.4,43.6,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,21
