指标,年末数（万人）,比重（%）,,来源文件,年份,表格编号
全国人口,140489,100.0,,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,1
其中：城镇,95380,67.9,,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,1
乡村,45109,32.1,,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,1
其中：男性,71685,51.0,,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,1
女性,68804,49.0,,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,1
其中：0-15岁（含不满16周岁）[6],23015,16.4,,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,1
16-59岁（含不满60周岁）,85136,60.6,,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,1
60周岁及以上,32338,23.0,,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,1
其中：65周岁及以上,22365,15.9,,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,1
,,,,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,1
