产品名称,单位,产量,比上年增长（%）,来源文件,年份,表格编号
纱,万吨,2234.2,-2.2,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,20
布,亿米,294.9,-4.8,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,20
化学纤维,万吨,7127.0,10.3,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,20
成品糖,万吨,1270.6,-13.2,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,20
卷烟,亿支,24427.5,0.4,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,20
彩色电视机,万台,19339.6,-1.3,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,20
家用电冰箱,万台,9632.3,14.5,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,20
房间空气调节器,万台,24487.0,13.5,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,20
粗钢,万吨,101908.1,0.0,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,20
钢材[23],万吨,136268.2,5.2,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,20
十种有色金属,万吨,7469.8,7.1,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,20
其中：精炼铜（电解铜）,万吨,1298.8,13.5,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,20
原铝（电解铝）,万吨,4159.4,3.7,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,20
水泥,亿吨,20.2,-0.7,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,20
硫酸（折100%）,万吨,9580.0,3.4,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,20
烧碱（折100%）,万吨,4101.4,3.5,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,20
乙烯,万吨,3189.9,6.0,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,20
化肥（折100%）,万吨,5713.6,5.0,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,20
发电机组（发电设备）,万千瓦,23442.7,28.5,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,20
汽车,万辆,3011.3,9.3,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,20
其中：新能源汽车,万辆,944.3,30.3,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,20
大中型拖拉机,万台,38.0,-7.2,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,20
集成电路,亿块,3514.4,6.9,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,20
程控交换机,万线,507.0,-42.6,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,20
移动通信手持机,万台,156642.2,6.9,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,20
微型计算机设备,万台,33056.9,-17.4,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,20
工业机器人,万套,43.0,-2.2,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,20
太阳能工业用超白玻璃,万平方米,159264.8,58.6,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,20
充电桩,万个,287.8,36.9,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,20
