指标,单位,绝对数,比上年增长（%）,来源文件,年份,表格编号
旅客运输总量,亿人次,83.0,-14.1,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,21
铁路,亿人次,26.1,18.5,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,21
公路,亿人次,50.9,-26.2,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,21
水路,亿人次,1.6,9.0,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,21
民航,亿人次,4.4,5.5,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,21
旅客运输周转量,亿人公里,19758.2,2.6,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,21
铁路,亿人公里,9567.8,15.7,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,21
公路,亿人公里,3627.5,-21.8,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,21
水路,亿人公里,33.1,0.4,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,21
民航,亿人公里,6529.7,3.5,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,21
