指标,金额（亿元）,比上年增长（%）,来源文件,年份,表格编号
货物进出口总额,420678,7.7,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,9
货物出口额,239654,10.5,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,9
其中：一般贸易,152468,15.4,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,9
加工贸易,53952,1.1,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,9
其中：机电产品,136973,7.0,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,9
高新技术产品,63391,0.3,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,9
货物进口额,181024,4.3,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,9
其中：一般贸易,115624,6.7,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,9
加工贸易,30574,-3.2,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,9
其中：机电产品,69661,-5.4,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,9
高新技术产品,50864,-6.0,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,9
货物进出口顺差,58630,35.4,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,9
