,财政科学技术支出（亿元）,比上年增长（%）,占财政科学技术支出的比重（%）,来源文件,年份,表格编号
合　计,10717.4,12.6,—,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,4
其中：科学技术支出,9470.8,13.7,88.4,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,4
其他功能支出中用于科学技术的支出,1246.6,4.6,11.6,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,4
其中：中央,4173.2,11.6,38.9,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,4
地方,6544.2,13.2,61.1,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,4
