产品名称,单位,产量,比上年增长（%）,来源文件,年份,表格编号
原煤,亿吨,48.5,1.4,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,4
原油,万吨,21608.7,1.5,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,4
天然气,亿立方米,2620.6,6.3,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,4
发电量,亿千瓦时,105752.5,4.8,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,4
其中：火电[27],亿千瓦时,63271.5,-0.7,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,4
水电,亿千瓦时,14616.7,2.5,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,4
核电,亿千瓦时,4852.3,7.6,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,4
风电,亿千瓦时,11279.2,13.1,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,4
太阳能发电,亿千瓦时,11732.4,39.8,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,4
