单位：%,,,,来源文件,年份,表格编号
指标,全国,,,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,18
城市,农村,,,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,18
居民消费价格,2.0,2.0,2.0,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,18
其中：食品烟酒,2.4,2.6,2.1,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,18
衣　着,0.5,0.6,0.3,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,18
居　住[10],0.7,0.5,1.3,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,18
生活用品及服务,1.2,1.2,1.0,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,18
交通通信,5.2,5.2,5.0,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,18
教育文化娱乐,1.8,1.9,1.7,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,18
医疗保健,0.6,0.6,0.8,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,18
其他用品及服务,1.6,1.5,2.0,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,18
