指标,单位,绝对数,比上年增长（%）,来源文件,年份,表格编号
投资额,亿元,141443,7.0,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,22
其中：住宅,亿元,104446,7.6,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,22
房屋施工面积,万平方米,926759,3.7,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,22
其中：住宅,万平方米,655558,4.4,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,22
房屋新开工面积,万平方米,224433,-1.2,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,22
其中：住宅,万平方米,164329,-1.9,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,22
房屋竣工面积,万平方米,91218,-4.9,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,22
其中：住宅,万平方米,65910,-3.1,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,22
商品房销售面积,万平方米,176086,2.6,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,22
其中：住宅,万平方米,154878,3.2,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,22
本年到位资金,亿元,193115,8.1,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,22
其中：国内贷款,亿元,26676,5.7,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,22
个人按揭贷款,亿元,29976,9.9,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,22
