指标,专利数（万件）,比上年增长（%）,来源文件,年份,表格编号
发明专利授权,92.1,15.3,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,17
其中：境内发明专利授权,81.3,18.0,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,17
实用新型专利授权,209.0,-25.5,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,17
外观设计专利授权,63.8,-11.5,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,17
年末有效发明专利,499.1,18.5,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,17
其中：境内有效发明专利,401.5,22.4,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,17
年末有效实用新型专利,1212.9,11.9,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,17
年末有效外观设计专利,323.4,14.2,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,17
