指标,年末数（亿元）,比上年末增长（%）,来源文件,年份,表格编号
各项存款,2386062,9.3,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,31
其中：境内住户存款,1033118,10.6,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,31
其中：人民币,1025012,10.7,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,31
境内非金融企业存款,730137,6.1,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,31
各项贷款,1985108,11.3,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,31
其中：境内短期贷款,520506,5.7,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,31
境内中长期贷款,1291149,13.5,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,31
