指标,年末数（万人）,比重（%）,,来源文件,年份,表格编号
全国总人口,140005,100.0,,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,1
其中：城镇,84843,60.60,,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,1
乡村,55162,39.40,,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,1
其中：男性,71527,51.1,,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,1
女性,68478,48.9,,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,1
其中：0-15岁（含不满16周岁）[11],24977,17.8,,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,1
16-59岁（含不满60周岁）,89640,64.0,,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,1
60周岁及以上,25388,18.1,,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,1
其中：65周岁及以上,17603,12.6,,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,1
