商品名称,单位,数量,比上年增长（%）,金额（亿元）,比上年增长（%）,来源文件,年份,表格编号
大豆,万吨,9941,11.4,4199,4.8,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,12
食用植物油,万吨,981,51.4,734,21.1,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,12
铁矿砂及其精矿,万吨,117906,6.6,9418,11.2,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,12
煤及褐煤,万吨,47442,61.8,3723,30.2,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,12
原油,万吨,56399,11.0,23733,-2.6,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,12
成品油,万吨,4769,80.3,1965,50.0,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,12
天然气,万吨,11997,9.9,4523,-3.4,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,12
初级形状的塑料,万吨,2960,-3.2,3182,-14.8,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,12
纸浆,万吨,3666,25.7,1665,11.6,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,12
钢材,万吨,765,-27.6,891,-21.5,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,12
未锻轧铜及铜材,万吨,550,-6.3,3356,-6.9,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,12
集成电路,亿个,4796,-10.8,24591,-10.6,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,12
汽车（包括底盘）,万辆,80,-8.9,3321,-5.8,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,12
