产品名称,单位,产量,比上年增长（%）,来源文件,年份,表格编号
纱,万吨,2215.8,-0.1,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,20
布,亿米,306.7,0.2,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,20
化学纤维,万吨,8701.1,4.9,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,20
成品糖,万吨,1621.0,9.0,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,20
卷烟,亿支,24703.9,0.2,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,20
彩色电视机,万台,20273.9,-2.6,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,20
家用电冰箱,万台,10924.4,1.6,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,20
房间空气调节器,万台,26697.5,0.7,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,20
粗钢,万吨,96081.2,-4.4,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,20
钢材[24],万吨,144612.1,3.1,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,20
十种有色金属,万吨,8175.0,3.9,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,20
其中：精炼铜（电解铜）,万吨,1472.0,10.4,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,20
原铝（电解铝）,万吨,4501.6,2.4,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,20
水泥,亿吨,16.9,-6.9,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,20
硫酸（折100%）,万吨,11081.6,4.5,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,20
烧碱（折100%）,万吨,4653.5,5.0,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,20
乙烯,万吨,4150.8,6.4,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,20
化肥（折100%）,万吨,6480.8,7.1,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,20
发电机组（发电设备）,万千瓦,37087.4,37.6,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,20
汽车,万辆,3477.8,9.8,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,20
其中：新能源汽车,万辆,1652.4,25.1,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,20
集成电路,亿块,4842.8,10.9,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,20
移动通信手持机,万台,154123.9,-5.8,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,20
微型计算机设备,万台,33186.1,-2.9,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,20
工业机器人,万套,77.3,28.0,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,20
太阳能工业用超白玻璃,万平方米,316135.4,3.4,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,20
充电桩,万个,574.5,11.0,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,20
太阳能电池（光伏电池）,万千瓦,83274.3,7.6,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,20
3D打印设备,万台,521.1,52.5,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,20
