指标,年末数（亿元）,比上年末增长（%）,来源文件,年份,表格编号
各项存款,2183744,10.2,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,29
其中：境内住户存款,934383,13.8,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,29
其中：人民币,925986,13.9,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,29
境内非金融企业存款,688218,10.8,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,29
各项贷款,1784034,12.5,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,29
其中：境内短期贷款,492682,4.3,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,29
境内中长期贷款,1137504,17.1,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,29
