指标,年末数（亿元）,比上年末增长（%）,来源文件,年份,表格编号
各项存款,1981643,8.6,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,15
其中：境内住户存款,821296,13.4,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,15
其中：人民币,813017,13.5,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,15
境内非金融企业存款,621147,5.4,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,15
各项贷款,1586021,11.9,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,15
其中：境内短期贷款,472380,6.6,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,15
境内中长期贷款,971805,13.7,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,15
