商品名称,单位,数量,比上年增长（%）,金额（亿元）,比上年增长（%）,来源文件,年份,表格编号
钢材,万吨,11902,7.5,5911,-0.7,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,11
纺织纱线、织物及其制品,—,—,—,10205,1.0,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,11
服装及衣着附件,—,—,—,10822,-4.4,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,11
鞋靴,亿双,90,-2.0,2975,-10.8,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,11
家具及其零件,—,—,—,4559,-5.6,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,11
箱包及类似容器,万吨,368,1.6,2140,-12.9,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,11
玩具,—,—,—,2493,-12.1,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,11
塑料制品,—,—,—,7487,-0.8,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,11
集成电路,亿个,3495,17.4,14442,27.4,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,11
自动数据处理设备及其零部件,—,—,—,14530,-0.8,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,11
手机,万台,75118,-7.7,8696,-9.0,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,11
集装箱,万个,458,-15.9,972,-19.9,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,11
液晶平板显示模组,万个,209492,10.7,2306,11.7,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,11
汽车（包括底盘）,万辆,832,30.0,10183,22.0,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,11
