行业,金额（亿美元）,比上年增长（%）,来源文件,年份,表格编号
总计,1301,11.4,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,32
其中：农、林、牧、渔业,8,-3.6,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,32
采矿业,70,39.0,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,32
制造业,279,29.0,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,32
电力、热力、燃气及水生产和供应业,31,-12.5,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,32
建筑业,67,5.1,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,32
批发和零售业,292,38.6,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,32
交通运输、仓储和邮政业,65,42.3,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,32
信息传输、软件和信息技术服务业,49,-10.9,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,32
房地产业,10,-57.4,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,32
租赁和商务服务业,337,-13.0,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,32
