行业,金额（亿美元）,比上年增长（%）,来源文件,年份,表格编号
总计,1101.5,-0.4,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,13
其中：农、林、牧、渔业,13.9,-9.7,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,13
采矿业,50.9,-32.3,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,13
制造业,199.7,-0.5,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,13
电力、热力、燃气及水生产和供应业,27.8,10.3,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,13
建筑业,51.6,-39.4,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,13
批发和零售业,160.7,27.8,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,13
交通运输、仓储和邮政业,26.5,-52.3,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,13
信息传输、软件和信息技术服务业,67.1,9.6,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,13
房地产业,27.3,-43.4,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,13
租赁和商务服务业,417.9,17.5,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,13
