指标,年末数（万人）,比重（%）,,来源文件,年份,表格编号
全国人口,141260,100.0,,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,17
其中：城镇,91425,64.7,,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,17
乡村,49835,35.3,,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,17
其中：男性,72311,51.2,,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,17
女性,68949,48.8,,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,17
其中：0-15岁（含不满16周岁）[10],26302,18.6,,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,17
16-59岁（含不满60周岁）,88222,62.5,,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,17
60周岁及以上,26736,18.9,,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,17
其中：65周岁及以上,20056,14.2,,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,17
