行业,金额（亿美元）,比上年增长（%）,来源文件,年份,表格编号
总计,1168.5,2.8,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,14
其中：农、林、牧、渔业,8.3,-26.5,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,14
采矿业,50.1,0.6,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,14
制造业,216.0,17.4,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,14
电力、热力、燃气及水生产和供应业,35.2,-28.0,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,14
建筑业,64.0,14.9,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,14
批发和零售业,211.0,19.5,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,14
交通运输、仓储和邮政业,45.6,-10.6,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,14
信息传输、软件和信息技术服务业,54.9,-27.1,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,14
房地产业,24.2,-2.8,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,14
租赁和商务服务业,387.6,5.8,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,14
