国家和地区,出口额（亿元）,比上年增长（%）,占全部出口比重（%）,进口额（亿元）,比上年增长（%）,占全部进口比重（%）,来源文件,年份,表格编号
东盟,31255,17.7,14.4,25489,22.2,14.7,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,28
欧盟,33483,23.7,15.4,20028,12.1,11.5,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,28
美国,37224,19.0,17.1,11603,24.2,6.7,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,28
日本,10722,8.5,4.9,13298,10.1,7.7,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,28
韩国,9617,23.5,4.4,13791,15.1,7.9,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,28
中国香港,22641,20.3,10.4,627,30.2,0.4,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,28
中国台湾,5063,21.7,2.3,16146,16.5,9.3,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,28
巴西,3464,43.4,1.6,7138,20.3,4.1,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,28
俄罗斯,4364,24.7,2.0,5122,28.2,2.9,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,28
印度,6302,36.6,2.9,1819,25.1,1.0,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,28
南非,1365,29.4,0.6,2147,49.4,1.2,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,28
