指标,单位,绝对数,比上年增长（%）,来源文件,年份,表格编号
货物运输总量,亿吨,470.6,—,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,4
铁路,亿吨,43.2,7.2,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,4
公路,亿吨,343.5,—,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,4
水运,亿吨,74.7,6.3,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,4
民航,万吨,753.2,2.0,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,4
管道,亿吨,9.1,1.8,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,4
货物运输周转量,亿吨公里,199289.5,—,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,4
铁路,亿吨公里,30074.7,4.4,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,4
公路,亿吨公里,59636.4,—,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,4
水运,亿吨公里,103963.0,5.0,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,4
民航,亿吨公里,263.2,0.3,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,4
管道,亿吨公里,5352.2,1.0,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,4
