行业,比上年增长（%）,行业,比上年增长（%）,来源文件,年份,表格编号
总计,3.0,金融业,-11.9,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,24
农、林、牧、渔业,1.2,房地产业[42],-8.1,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,24
采矿业,2.1,租赁和商务服务业,9.9,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,24
制造业,6.5,科学研究和技术服务业,18.1,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,24
电力、热力、燃气及水生产和供应业,23.0,水利、环境和公共设施管理业,0.1,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,24
建筑业,22.5,居民服务、修理和其他服务业,15.8,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,24
批发和零售业,-0.4,教育,2.8,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,24
交通运输、仓储和邮政业,10.5,卫生和社会工作,-3.8,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,24
住宿和餐饮业,8.2,文化、体育和娱乐业,2.6,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,24
信息传输、软件和信息技术服务业,13.8,公共管理、社会保障和社会组织,-37.0,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,24
