指标,单位,绝对数,比上年增长（%）,,来源文件,年份,表格编号
货物运输总量,亿吨,596.7,3.2,,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,22
铁路,亿吨,52.8,2.0,,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,22
公路,亿吨,432.9,3.4,,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,22
水路,亿吨,101.2,3.2,,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,22
民航,万吨,1017.2,13.3,,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,22
管道,亿吨,9.7,1.1,,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,22
货物运输周转量,亿吨公里,274115.8,4.6,,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,22
铁路,亿吨公里,36869.1,2.8,,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,22
公路,亿吨公里,79510.7,3.5,,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,22
水路,亿吨公里,149943.9,6.0,,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,22
民航,亿吨公里,413.1,16.7,,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,22
管道,亿吨公里,7379.0,-1.2,,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,22
,,,,,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,22
