指标,单位,绝对数,来源文件,年份,表格编号
新增220千伏及以上变电设备,万千伏安,24334,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,23
新建铁路投产里程,公里,4208,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,23
其中：高速铁路,公里,2168,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,23
增、新建铁路复线投产里程,公里,2769,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,23
电气化铁路投产里程,公里,4189,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,23
新改建高速公路里程,公里,9028,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,23
港口万吨级码头泊位新增通过能力,万吨/年,25368,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,23
新增民用运输机场,个,7,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,23
新增光缆线路长度,万公里,319,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,23
