产品名称,单位,产量,比上年增长（%）,来源文件,年份,表格编号
纱,万吨,2873.7,9.8,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,3
布,亿米,502.0,9.3,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,3
化学纤维,万吨,6708.5,9.5,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,3
成品糖,万吨,1482.3,3.6,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,3
卷烟,亿支,24182.4,1.3,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,3
彩色电视机,万台,18496.5,-5.8,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,3
其中：液晶电视机,万台,17424.3,-9.5,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,3
家用电冰箱,万台,8992.1,-0.3,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,3
房间空气调节器,万台,21835.7,3.8,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,3
一次能源生产总量,亿吨标准煤,43.3,6.2,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,3
原煤,亿吨,41.3,5.7,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,3
原油,万吨,19888.1,2.1,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,3
天然气,亿立方米,2075.8,7.8,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,3
发电量,亿千瓦时,85342.5,9.7,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,3
其中：火电[24],亿千瓦时,58058.7,8.9,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,3
水电,亿千瓦时,13390.0,-1.2,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,3
核电,亿千瓦时,4075.2,11.3,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,3
粗钢,万吨,103524.3,-2.8,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,3
钢材[25],万吨,133666.8,0.9,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,3
十种有色金属,万吨,6477.1,4.7,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,3
其中：精炼铜（电解铜）,万吨,1048.7,4.6,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,3
原铝（电解铝）,万吨,3850.3,3.8,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,3
水泥,亿吨,23.8,-0.4,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,3
硫酸（折100%）,万吨,9382.7,1.6,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,3
烧碱（折100%）,万吨,3891.3,5.9,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,3
乙烯,万吨,2825.7,30.8,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,3
化肥（折100%）,万吨,5543.6,0.9,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,3
发电机组（发电设备）,万千瓦,15954.6,19.2,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,3
汽车,万辆,2652.8,4.8,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,3
其中：基本型乘用车（轿车）,万辆,976.5,5.7,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,3
运动型多用途乘用车（SUV）,万辆,973.6,7.6,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,3
大中型拖拉机,万台,41.2,19.4,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,3
集成电路,亿块,3594.3,37.5,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,3
程控交换机,万线,699.6,-0.4,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,3
移动通信手持机,万台,166151.6,13.1,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,3
微型计算机设备,万台,46692.0,23.5,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,3
工业机器人,万台（套）,36.6,67.9,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,3
