指标,专利数（万件）,比上年增长（%）,来源文件,年份,表格编号
专利授权数,363.9,40.4,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,15
其中：境内专利授权,350.4,42.6,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,15
其中：发明专利授权,53.0,17.1,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,15
其中：境内发明专利,43.4,22.5,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,15
年末有效专利数,1219.3,25.4,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,15
其中：境内有效专利,1111.5,27.9,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,15
其中：有效发明专利,305.8,14.5,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,15
其中：境内有效发明专利,221.3,18.8,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,15
