指标,单位,绝对数,比上年增长（%）,来源文件,年份,表格编号
房地产开发投资,亿元,82788,-17.2,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,9
其中：住宅,亿元,63514,-16.3,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,9
房屋施工面积,万平方米,659890,-10.0,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,9
其中：住宅,万平方米,460123,-10.3,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,9
房屋新开工面积,万平方米,58770,-20.4,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,9
其中：住宅,万平方米,42984,-19.8,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,9
房屋竣工面积,万平方米,60348,-18.1,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,9
其中：住宅,万平方米,42830,-20.2,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,9
新建商品房销售面积,万平方米,88101,-8.7,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,9
其中：住宅,万平方米,73299,-9.2,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,9
房地产开发企业本年到位资金,亿元,93117,-13.4,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,9
其中：国内贷款,亿元,14094,-7.3,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,9
个人按揭贷款,亿元,12852,-17.8,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,9
