行业,R&D经费（亿元）,R&D经费投入强度（%）,来源文件,年份,表格编号
合　计,13971.1,1.32,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,5
采矿业,288.1,0.62,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,5
煤炭开采和洗选业,109.2,0.44,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,5
石油和天然气开采业,93.8,1.08,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,5
黑色金属矿采选业,13.4,0.39,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,5
有色金属矿采选业,21.8,0.65,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,5
非金属矿采选业,18.6,0.54,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,5
开采专业及辅助性活动,31.2,1.31,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,5
制造业,13538.5,1.45,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,5
农副食品加工业,262.0,0.56,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,5
食品制造业,156.2,0.82,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,5
酒、饮料和精制茶制造业,107.6,0.70,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,5
烟草制品业,30.4,0.27,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,5
纺织业,265.9,1.11,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,5
纺织服装、服饰业,105.6,0.66,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,5
皮革、毛皮、羽毛及其制品和制鞋业,80.3,0.69,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,5
木材加工和木、竹、藤、棕、草制品业,63.2,0.74,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,5
家具制造业,73.6,1.03,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,5
造纸和纸制品业,157.7,1.18,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,5
印刷和记录媒介复制业,79.6,1.20,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,5
文教、工美、体育和娱乐用品制造业,118.2,0.92,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,5
石油、煤炭及其他燃料加工业,184.7,0.38,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,5
化学原料和化学制品制造业,923.4,1.40,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,5
医药制造业,609.6,2.55,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,5
化学纤维制造业,123.7,1.44,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,5
橡胶和塑料制品业,357.6,1.41,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,5
非金属矿物制品业,520.1,0.97,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,5
黑色金属冶炼和压延加工业,886.3,1.25,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,5
有色金属冶炼和压延加工业,479.8,0.85,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,5
金属制品业,466.4,1.36,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,5
通用设备制造业,822.9,2.15,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,5
专用设备制造业,776.7,2.64,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,5
汽车制造业,1289.6,1.60,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,5
铁路、船舶、航空航天和其他运输设备制造业,429.1,3.81,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,5
电气机械和器材制造业,1406.2,2.15,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,5
