指标,单位,绝对数,来源文件,年份,表格编号
新增220千伏及以上交流变电设备容量,万千伏安,25656,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,25
新建铁路投产里程,公里,3637,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,25
其中：高速铁路,公里,2776,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,25
增、新建铁路复线投产里程,公里,3351,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,25
电气化铁路投产里程,公里,4463,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,25
新改建高速公路里程,公里,7498,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,25
港口万吨级及以上码头泊位新增通过能力,万吨/年,32529,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,25
新增民用运输机场,个,5,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,25
新增光缆线路长度,万公里,474,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,25
