指标,单位,绝对数,比上年增长（%）,来源文件,年份,表格编号
房地产开发投资,亿元,110913,-9.6,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,9
其中：住宅,亿元,83820,-9.3,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,9
房屋施工面积,万平方米,838364,-7.2,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,9
其中：住宅,万平方米,589884,-7.7,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,9
房屋新开工面积,万平方米,95376,-20.4,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,9
其中：住宅,万平方米,69286,-20.9,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,9
房屋竣工面积,万平方米,99831,17.0,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,9
其中：住宅,万平方米,72433,17.2,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,9
新建商品房销售面积,万平方米,111735,-8.5,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,9
其中：住宅,万平方米,94796,-8.2,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,9
房地产开发企业本年到位资金,亿元,127459,-13.6,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,9
其中：国内贷款,亿元,15595,-9.9,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,9
个人按揭贷款,亿元,21489,-9.1,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,9
