行业,金额（亿美元）,比上年增长（%）,来源文件,年份,表格编号
总计,1136.4,3.2,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,30
其中：农、林、牧、渔业,11.3,-18.7,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,30
采矿业,49.8,-2.2,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,30
制造业,184.0,-7.9,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,30
电力、热力、燃气及水生产和供应业,48.9,75.9,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,30
建筑业,55.7,7.9,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,30
批发和零售业,176.5,9.8,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,30
交通运输、仓储和邮政业,51.0,92.5,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,30
信息传输、软件和信息技术服务业,75.3,12.2,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,30
房地产业,24.9,-8.8,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,30
租赁和商务服务业,366.2,-12.4,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,30
