行业,比上年增长（%）,行业,比上年增长（%）,来源文件,年份,表格编号
总计,5.1,金融业,10.5,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,22
农、林、牧、渔业,4.2,房地产业[39],-8.4,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,22
采矿业,4.5,租赁和商务服务业,14.5,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,22
制造业,9.1,科学研究和技术服务业,21.0,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,22
电力、热力、燃气及水生产和供应业,19.3,水利、环境和公共设施管理业,10.3,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,22
建筑业,2.0,居民服务、修理和其他服务业,21.8,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,22
批发和零售业,5.3,教育,5.4,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,22
交通运输、仓储和邮政业,9.1,卫生和社会工作,26.1,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,22
住宿和餐饮业,7.5,文化、体育和娱乐业,3.5,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,22
信息传输、软件和信息技术服务业,21.8,公共管理、社会保障和社会组织,42.1,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,22
