指标,年末数（亿元）,比上年末增长（%）,来源文件,年份,表格编号
各项存款,2899132,9.6,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,33
其中：境内住户存款,1378765,13.8,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,33
其中：人民币,1369895,13.8,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,33
境内非金融企业存款,817959,4.9,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,33
各项贷款,2422396,10.1,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,33
其中：境内短期贷款,623037,10.2,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,33
境内中长期贷款,1591965,11.3,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,33
