行业,企业数（家）,比上年增长（%）,实际使用金额（亿元）,比上年增长（%）,来源文件,年份,表格编号
总计,38497,-19.2,12327,6.3,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,29
其中：农、林、牧、渔业,420,-14.5,80,44.6,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,29
制造业,3570,-19.9,3237,46.1,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,29
电力、热力、燃气及水生产和供应业,523,12.5,276,10.8,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,29
交通运输、仓储和邮政业,602,-13.1,347,-1.1,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,29
信息传输、软件和信息技术服务业,3059,-24.5,1548,15.1,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,29
批发和零售业,10894,-18.6,961,-12.5,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,29
房地产业,581,-48.4,914,-41.8,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,29
租赁和商务服务业,7473,-19.6,2148,-2.1,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,29
居民服务、修理和其他服务业,411,-21.3,19,-38.6,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,29
