产品名称,单位,产量,比上年增长（%）,来源文件,年份,表格编号
纱,万吨,2719.1,-5.4,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,19
布,亿米,467.5,-6.9,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,19
化学纤维,万吨,6697.8,-0.2,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,19
成品糖,万吨,1486.8,2.6,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,19
卷烟,亿支,24321.5,0.6,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,19
彩色电视机,万台,19578.3,5.8,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,19
家用电冰箱,万台,8664.4,-3.6,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,19
房间空气调节器,万台,22247.3,1.9,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,19
一次能源生产总量,亿吨标准煤,46.6,9.2,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,19
原煤,亿吨,45.6,10.5,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,19
原油,万吨,20472.2,2.9,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,19
天然气,亿立方米,2201.1,6.0,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,19
发电量,亿千瓦时,88487.1,3.7,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,19
其中：火电[21],亿千瓦时,58887.9,1.4,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,19
水电,亿千瓦时,13522.0,1.0,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,19
核电,亿千瓦时,4177.8,2.5,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,19
风电,亿千瓦时,7626.7,16.2,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,19
太阳能发电,亿千瓦时,4272.7,31.2,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,19
粗钢,万吨,101795.9,-1.7,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,19
钢材[22],万吨,134033.5,0.3,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,19
十种有色金属,万吨,6793.6,4.9,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,19
其中：精炼铜（电解铜）,万吨,1106.3,5.5,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,19
原铝（电解铝）,万吨,4021.4,4.4,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,19
水泥,亿吨,21.3,-10.5,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,19
硫酸（折100%）,万吨,9504.6,1.3,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,19
烧碱（折100%）,万吨,3980.5,2.3,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,19
乙烯,万吨,2897.5,2.5,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,19
化肥（折100%）,万吨,5573.3,0.5,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,19
发电机组（发电设备）,万千瓦,18376.1,15.0,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,19
汽车,万辆,2718.0,3.5,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,19
其中：新能源汽车,万辆,700.3,90.5,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,19
大中型拖拉机,万台,40.0,-2.8,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,19
集成电路,亿块,3241.9,-9.8,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,19
程控交换机,万线,883.8,26.3,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,19
移动通信手持机,万台,156080.0,-6.1,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,19
微型计算机设备,万台,43418.2,-7.0,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,19
工业机器人,万套,44.3,21.0,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,19
太阳能电池（光伏电池）,万千瓦,34364.2,46.8,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,19
充电桩,万个,191.5,80.3,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,19
