行业,企业数（家）,比上年增长（%）,实际使用金额（亿元）,比上年增长（%）,来源文件,年份,表格编号
总计,40888,-32.5,9415,5.8,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,13
其中：农、林、牧、渔业,495,-33.2,38,-27.9,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,13
制造业,5396,-12.3,2416,-11.0,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,13
电力、热力、燃气及水生产和供应业,295,3.9,239,-17.6,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,13
交通运输、仓储和邮政业,591,-21.6,309,-1.6,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,13
信息传输、软件和信息技术服务业,4295,-40.5,999,29.4,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,13
批发和零售业,13837,-39.5,614,-4.5,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,13
房地产业,1050,-0.3,1608,8.0,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,13
租赁和商务服务业,5777,-36.5,1499,20.6,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,13
居民服务、修理和其他服务业,361,-25.6,37,-0.4,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,13
