指标,单位,绝对数,比上年增长（%）,来源文件,年份,表格编号
旅客运输总量,亿人次,176.0,-1.9,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,5
铁路,亿人次,36.6,8.4,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,5
公路,亿人次,130.1,-4.8,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,5
水运,亿人次,2.7,-2.6,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,5
民航,亿人次,6.6,7.9,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,5
旅客运输周转量,亿人公里,35349.1,3.3,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,5
铁路,亿人公里,14706.6,4.0,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,5
公路,亿人公里,8857.1,-4.6,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,5
水运,亿人公里,80.2,0.8,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,5
民航,亿人公里,11705.1,9.3,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,5
