指标,单位,绝对数,比上年增长（%）,来源文件,年份,表格编号
旅客运输总量,亿人次,55.9,-32.7,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,21
铁路,亿人次,16.7,-35.9,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,21
公路,亿人次,35.5,-30.3,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,21
水路,亿人次,1.2,-28.8,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,21
民航,亿人次,2.5,-42.9,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,21
旅客运输周转量,亿人公里,12921.4,-34.6,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,21
铁路,亿人公里,6577.5,-31.3,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,21
公路,亿人公里,2407.5,-33.7,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,21
水路,亿人公里,22.6,-31.7,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,21
民航,亿人公里,3913.7,-40.1,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,21
