指标,单位,绝对数,来源文件,年份,表格编号
新增220千伏及以上变电设备,万千伏安,22288,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,6
新建铁路投产里程,公里,4933,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,6
其中：高速铁路,公里,2521,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,6
增、新建铁路复线投产里程,公里,3380,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,6
电气化铁路投产里程,公里,5480,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,6
新改建高速公路里程,公里,12713,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,6
港口万吨级码头泊位新增通过能力,万吨/年,30562,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,6
新增民用运输机场,个,3,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,6
新增光缆线路长度,万公里,428,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,6
