国家和地区,出口额（亿元）,比上年增长（%）,占全部出口比重（%）,进口额（亿元）,比上年增长（%）,占全部进口比重（%）,来源文件,年份,表格编号
欧盟,29564,9.6,17.2,19063,5.5,13.3,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,12
东盟,24797,17.8,14.4,19456,9.8,13.6,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,12
美国,28865,-8.7,16.7,8454,-17.1,5.9,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,12
日本,9875,1.7,5.7,11837,-0.6,8.3,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,12
中国香港,19243,-3.6,11.2,626,10.9,0.4,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,12
韩国,7648,6.6,4.4,11960,-11.4,8.4,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,12
中国台湾,3799,18.3,2.2,11934,1.9,8.3,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,12
巴西,2453,10.8,1.4,5501,7.4,3.8,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,12
俄罗斯,3434,8.5,2.0,4208,7.5,2.9,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,12
印度,5156,2.1,3.0,1239,-0.2,0.9,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,12
南非,1141,6.4,0.7,1784,-0.8,1.2,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,12
