行业,企业数（家）,比上年增长（%）,实际使用金额（亿元）,比上年增长（%）,来源文件,年份,表格编号
总计,59080,9.9,8263,-27.1,中华人民共和国2024年国民经济和社会发展统计公报 - 国家统计局.html,2024,14
其中：农、林、牧、渔业,374,-10.5,27,-46.0,中华人民共和国2024年国民经济和社会发展统计公报 - 国家统计局.html,2024,14
制造业,3871,6.8,2212,-30.4,中华人民共和国2024年国民经济和社会发展统计公报 - 国家统计局.html,2024,14
电力、热力、燃气及水生产和供应业,439,-22.7,284,-10.9,中华人民共和国2024年国民经济和社会发展统计公报 - 国家统计局.html,2024,14
交通运输、仓储和邮政业,838,-3.3,112,-25.0,中华人民共和国2024年国民经济和社会发展统计公报 - 国家统计局.html,2024,14
信息传输、软件和信息技术服务业,3988,6.0,526,-53.6,中华人民共和国2024年国民经济和社会发展统计公报 - 国家统计局.html,2024,14
批发和零售业,20854,15.8,584,-15.4,中华人民共和国2024年国民经济和社会发展统计公报 - 国家统计局.html,2024,14
房地产业,612,-10.5,406,-49.9,中华人民共和国2024年国民经济和社会发展统计公报 - 国家统计局.html,2024,14
租赁和商务服务业,11158,4.5,1815,-0.2,中华人民共和国2024年国民经济和社会发展统计公报 - 国家统计局.html,2024,14
居民服务、修理和其他服务业,859,18.3,35,3.6,中华人民共和国2024年国民经济和社会发展统计公报 - 国家统计局.html,2024,14
