指标,单位,绝对数,来源文件,年份,表格编号
新增220千伏及以上交流变电设备容量,万千伏安,32119,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,8
新建铁路投产里程,公里,3113,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,8
其中：高速铁路,公里,2457,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,8
增、新建铁路复线投产里程,公里,2687,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,8
电气化铁路投产里程,公里,3936,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,8
新改建高速公路里程,公里,8968,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,8
港口万吨级及以上码头泊位新增通过能力,万吨/年,27106,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,8
新增民用运输机场,个,4,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,8
新增光缆线路长度,万公里,856,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,8
