单位：%,,,,来源文件,年份,表格编号
指标,全国,,,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,2
城市,农村,,,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,2
居民消费价格,0.2,0.3,0.1,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,2
其中：食品烟酒,0.3,0.4,0.1,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,2
衣着,1.0,1.1,0.6,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,2
居住[10],0.0,0.0,0.0,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,2
生活用品及服务,0.1,0.1,-0.1,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,2
交通通信,-2.3,-2.3,-2.4,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,2
教育文化娱乐,2.0,2.1,1.5,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,2
医疗保健,1.1,1.1,1.3,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,2
其他用品及服务,3.2,3.4,2.5,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,2
