指标,单位,绝对数,比上年增长（%）,来源文件,年份,表格编号
房地产开发投资,亿元,100280,-10.6,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,26
其中：住宅,亿元,76040,-10.5,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,26
房屋施工面积,万平方米,733247,-12.7,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,26
其中：住宅,万平方米,513330,-13.1,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,26
房屋新开工面积,万平方米,73893,-23.0,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,26
其中：住宅,万平方米,53660,-23.0,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,26
房屋竣工面积,万平方米,73743,-27.7,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,26
其中：住宅,万平方米,53741,-27.4,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,26
新建商品房销售面积,万平方米,97385,-12.9,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,26
其中：住宅,万平方米,81450,-14.1,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,26
房地产开发企业本年到位资金,亿元,107661,-17.0,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,26
其中：国内贷款,亿元,15217,-6.1,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,26
个人按揭贷款,亿元,15661,-27.9,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,26
