指标,年末数（亿元）,比上年末增长（%）,来源文件,年份,表格编号
各项存款,3361383,9.0,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,33
其中：境内住户存款,1670357,9.7,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,33
其中：人民币,1658935,9.7,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,33
境内非金融企业存款,844668,3.7,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,33
各项贷款,2757435,6.2,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,33
其中：境内短期贷款,691635,5.8,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,33
境内中长期贷款,1812965,5.8,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,33
