行　业,比上年增长（%）,行　业,比上年增长（%）,来源文件,年份,表格编号
总计,5.4,金融业,10.4,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,6
农、林、牧、渔业,0.7,房地产业[49],9.1,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,6
采矿业,24.1,租赁和商务服务业,15.8,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,6
制造业,3.1,科学研究和技术服务业,17.9,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,6
电力、热力、燃气及水生产和供应业,4.5,水利、环境和公共设施管理业,2.9,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,6
建筑业,-19.8,居民服务、修理和其他服务业,-9.1,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,6
批发和零售业,-15.9,教育,17.7,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,6
交通运输、仓储和邮政业,3.4,卫生和社会工作,5.3,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,6
住宿和餐饮业,-1.2,文化、体育和娱乐业,13.9,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,6
信息传输、软件和信息技术服务业,8.6,公共管理、社会保障和社会组织,-15.6,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,6
