指标,金额（亿元）,比上年增长（%）,来源文件,年份,表格编号
货物进出口总额,315505,3.4,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,25
货物出口额,172342,5.0,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,25
其中：一般贸易,99546,7.8,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,25
加工贸易,50729,-3.7,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,25
其中：机电产品,100631,4.4,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,25
高新技术产品,50427,2.1,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,25
货物进口额,143162,1.6,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,25
其中：一般贸易,86599,3.1,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,25
加工贸易,28778,-7.4,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,25
其中：机电产品,62596,-1.8,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,25
高新技术产品,43978,-0.8,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,25
货物进出口顺差,29180,—,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,25
