产品名称,单位,产量,比上年增长（%）,来源文件,年份,表格编号
纱,万吨,2618.3,-7.4,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,17
布,亿米,460.3,-17.1,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,17
化学纤维,万吨,6126.5,4.1,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,17
成品糖,万吨,1431.3,3.0,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,17
卷烟,亿支,23863.7,0.9,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,17
彩色电视机,万台,19626.2,3.3,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,17
其中：液晶电视机,万台,19247.2,3.0,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,17
家用电冰箱,万台,9014.7,14.0,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,17
房间空气调节器,万台,21035.3,-3.8,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,17
一次能源生产总量,亿吨标准煤,40.8,2.8,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,17
原煤,亿吨,39.0,1.4,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,17
原油,万吨,19476.9,1.6,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,17
天然气,亿立方米,1925.0,9.8,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,17
发电量,亿千瓦小时,77790.6,3.7,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,17
其中：火电[19],亿千瓦小时,53302.5,2.1,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,17
水电,亿千瓦小时,13552.1,3.9,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,17
核电,亿千瓦小时,3662.5,5.1,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,17
粗钢,万吨,106476.7,7.0,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,17
钢材[20],万吨,132489.2,10.0,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,17
十种有色金属,万吨,6188.4,5.5,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,17
其中：精炼铜（电解铜）,万吨,1002.5,2.5,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,17
原铝（电解铝）,万吨,3708.0,5.6,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,17
水泥,亿吨,24.0,2.5,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,17
硫酸（折100%）,万吨,9238.2,1.3,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,17
烧碱（折100%）,万吨,3673.9,6.2,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,17
乙烯,万吨,2160.0,5.2,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,17
化肥（折100%）,万吨,5496.0,-4.1,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,17
发电机组（发电设备）,万千瓦,13226.2,38.3,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,17
汽车,万辆,2532.5,-1.4,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,17
其中：基本型乘用车（轿车）,万辆,923.9,-10.2,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,17
运动型多用途乘用车（SUV）,万辆,905.0,2.6,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,17
大中型拖拉机,万台,34.6,23.0,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,17
集成电路,亿块,2614.7,29.6,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,17
程控交换机,万线,702.5,-11.1,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,17
移动通信手持机,万台,146961.8,-13.3,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,17
微型计算机设备,万台,37800.4,10.6,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,17
工业机器人,万台（套）,21.2,20.7,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,17
