指标,专利数（万件）,比上年增长（%）,来源文件,年份,表格编号
专利授权数,432.3,-6.0,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,32
其中：境内专利授权,418.7,-5.9,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,32
其中：发明专利授权,79.8,14.7,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,32
其中：境内发明专利授权,68.9,19.2,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,32
年末有效专利数,1787.9,15.9,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,32
其中：境内有效专利,1671.9,17.0,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,32
其中：有效发明专利,421.2,17.1,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,32
其中：境内有效发明专利,328.0,21.3,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,32
