指标,单位,绝对数,比上年增长（%）,来源文件,年份,表格编号
投资额,亿元,132895,-10.0,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,8
其中：住宅,亿元,100646,-9.5,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,8
房屋施工面积,万平方米,904999,-7.2,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,8
其中：住宅,万平方米,639696,-7.3,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,8
房屋新开工面积,万平方米,120587,-39.4,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,8
其中：住宅,万平方米,88135,-39.8,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,8
房屋竣工面积,万平方米,86222,-15.0,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,8
其中：住宅,万平方米,62539,-14.3,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,8
商品房销售面积,万平方米,135837,-24.3,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,8
其中：住宅,万平方米,114631,-26.8,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,8
本年到位资金,亿元,148979,-25.9,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,8
其中：国内贷款,亿元,17388,-25.4,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,8
个人按揭贷款,亿元,23815,-26.5,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,8
