商品名称,单位,数量,比上年增长（%）,金额（亿元）,比上年增长（%）,来源文件,年份,表格编号
钢材,万吨,6429,-7.3,3699,-7.1,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,10
纺织纱线、织物及制品,—,—,—,8283,5.5,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,10
服装及衣着附件,—,—,—,10447,0.3,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,10
鞋类,万吨,451,0.6,3290,6.3,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,10
家具及其零件,—,—,—,3730,5.3,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,10
箱包及类似容器,万吨,307,-2.9,1878,5.1,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,10
玩具,—,—,—,2152,29.6,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,10
塑料制品,万吨,1424,8.5,3333,16.2,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,10
集成电路,亿个,2187,0.7,7008,25.3,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,10
自动数据处理设备及其部件,万台,148430,0.8,11415,0.5,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,10
手持或车载无线电话机,万台,99433,-11.1,8611,-7.8,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,10
集装箱,万个,242,-29.0,459,-33.0,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,10
液晶显示板,万个,150780,-14.2,1475,-3.4,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,10
汽车,万辆,122,6.1,1049,8.0,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,10
