指标,单位,绝对数,比上年增长（%）,,来源文件,年份,表格编号
货物运输总量,亿吨,556.8,8.1,,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,5
铁路,亿吨,50.1,1.5,,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,5
公路,亿吨,403.4,8.7,,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,5
水路,亿吨,93.7,9.5,,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,5
民航,万吨,735.4,21.0,,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,5
管道,亿吨,9.5,7.5,,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,5
货物运输周转量,亿吨公里,247712.7,6.3,,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,5
铁路,亿吨公里,36437.6,1.5,,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,5
公路,亿吨公里,73950.2,6.9,,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,5
水路,亿吨公里,129951.5,7.4,,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,5
民航,亿吨公里,283.6,11.6,,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,5
管道,亿吨公里,7089.8,3.8,,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,5
