商品名称,单位,数量,比上年增长（%）,金额（亿元）,比上年增长（%）,来源文件,年份,表格编号
大豆,万吨,9652,-3.8,3459,26.1,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,11
食用植物油,万吨,1039,-3.7,706,24.0,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,11
铁矿砂及其精矿,万吨,112432,-3.9,11942,39.6,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,11
煤及褐煤,万吨,32322,6.6,2319,64.1,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,11
原油,万吨,51298,-5.4,16618,34.4,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,11
成品油,万吨,2712,-4.0,1078,31.6,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,11
天然气,万吨,12136,19.9,3601,56.3,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,11
初级形状的塑料,万吨,3397,-16.4,3950,8.8,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,11
纸浆,万吨,2969,-2.7,1296,19.5,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,11
钢材,万吨,1427,-29.5,1210,3.9,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,11
未锻轧铜及铜材,万吨,553,-17.2,3387,12.5,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,11
集成电路,亿个,6355,16.9,27935,15.4,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,11
汽车（包括底盘）,万辆,94,0.6,3489,7.6,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,11
