商品名称,单位,数量,比上年增长（%）,金额（亿元）,比上年增长（%）,来源文件,年份,表格编号
大豆,万吨,10033,13.3,2743,12.5,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,25
食用植物油,万吨,983,3.1,515,17.7,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,25
铁矿砂及其精矿,万吨,117010,9.5,8229,17.8,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,25
煤及褐煤,万吨,30399,1.5,1411,-12.1,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,25
原油,万吨,54239,7.3,12218,-26.8,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,25
成品油,万吨,2835,-7.2,818,-30.4,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,25
天然气,万吨,10166,5.3,2315,-19.4,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,25
初级形状的塑料,万吨,4063,10.1,3628,-1.2,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,25
纸浆,万吨,3063,12.7,1088,-7.6,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,25
钢材,万吨,2023,64.4,1165,19.8,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,25
未锻轧铜及铜材,万吨,668,34.1,2988,33.4,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,25
集成电路,亿个,5435,22.1,24207,14.8,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,25
汽车（包括底盘）,万辆,93,-11.4,3242,-3.5,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,25
