指标,专利数（万件）,比上年增长（%）,来源文件,年份,表格编号
发明专利授权,97.2,-7.0,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,17
其中：境内发明专利授权,89.7,-3.7,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,17
实用新型专利授权,146.1,-27.3,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,17
外观设计专利授权,66.6,3.6,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,17
年末有效发明专利,631.8,11.1,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,17
其中：境内有效发明专利,532.0,13.6,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,17
年末有效实用新型专利,1153.0,-1.1,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,17
年末有效外观设计专利,317.1,3.2,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,17
