国家和地区,出口额（亿元）,比上年增长（%）,占全部出口比重（%）,进口额（亿元）,比上年增长（%）,占全部进口比重（%）,来源文件,年份,表格编号
东盟,47596,14.0,17.6,27861,-1.0,15.1,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,13
欧盟,40071,9.0,14.8,19182,0.1,10.4,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,13
美国,30067,-19.5,11.1,10000,-14.1,5.4,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,13
中国香港,24001,16.1,8.9,2266,73.4,1.2,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,13
韩国,10319,-0.6,3.8,13379,3.6,7.2,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,13
日本,11261,4.1,4.2,11792,6.1,6.4,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,13
中国台湾,5982,11.8,2.2,16509,6.5,8.9,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,13
俄罗斯,7384,-9.9,2.7,8924,-3.4,4.8,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,13
巴西,5123,-0.1,1.9,8328,0.8,4.5,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,13
印度,9723,13.4,3.6,1412,10.3,0.8,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,13
南非,1645,6.0,0.6,2188,0.5,1.2,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,13
