商品名称,单位,数量,比上年增长（%）,金额（亿元）,比上年增长（%）,来源文件,年份,表格编号
大豆,万吨,11183,6.5,3602,-3.9,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,29
食用植物油,万吨,694,-3.2,616,16.6,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,29
铁矿砂及其精矿,万吨,125871,1.8,8804,-6.6,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,29
煤及褐煤,万吨,49027,-9.6,2586,-30.2,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,29
原油,万吨,57773,4.4,21217,-8.3,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,29
成品油,万吨,4242,-12.0,1718,-17.7,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,29
天然气,万吨,12787,-2.8,4060,-12.5,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,29
初级形状的塑料,万吨,2684,-7.4,2843,-8.8,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,29
纸浆,万吨,3604,4.9,1566,-1.7,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,29
钢材,万吨,606,-11.1,735,-10.2,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,29
未锻轧铜及铜材,万吨,532,-6.4,3869,0.7,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,29
集成电路,亿个,5917,7.8,30355,10.7,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,29
汽车（包括底盘）,万辆,48,-32.4,1693,-39.2,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,29
