指标,单位,绝对数,比上年增长（%）,来源文件,年份,表格编号
房地产开发投资,亿元,100280,-10.6,中华人民共和国2024年国民经济和社会发展统计公报 - 国家统计局.html,2024,9
其中：住宅,亿元,76040,-10.5,中华人民共和国2024年国民经济和社会发展统计公报 - 国家统计局.html,2024,9
房屋施工面积,万平方米,733247,-12.7,中华人民共和国2024年国民经济和社会发展统计公报 - 国家统计局.html,2024,9
其中：住宅,万平方米,513330,-13.1,中华人民共和国2024年国民经济和社会发展统计公报 - 国家统计局.html,2024,9
房屋新开工面积,万平方米,73893,-23.0,中华人民共和国2024年国民经济和社会发展统计公报 - 国家统计局.html,2024,9
其中：住宅,万平方米,53660,-23.0,中华人民共和国2024年国民经济和社会发展统计公报 - 国家统计局.html,2024,9
房屋竣工面积,万平方米,73743,-27.7,中华人民共和国2024年国民经济和社会发展统计公报 - 国家统计局.html,2024,9
其中：住宅,万平方米,53741,-27.4,中华人民共和国2024年国民经济和社会发展统计公报 - 国家统计局.html,2024,9
新建商品房销售面积,万平方米,97385,-12.9,中华人民共和国2024年国民经济和社会发展统计公报 - 国家统计局.html,2024,9
其中：住宅,万平方米,81450,-14.1,中华人民共和国2024年国民经济和社会发展统计公报 - 国家统计局.html,2024,9
房地产开发企业本年到位资金,亿元,107661,-17.0,中华人民共和国2024年国民经济和社会发展统计公报 - 国家统计局.html,2024,9
其中：国内贷款,亿元,15217,-6.1,中华人民共和国2024年国民经济和社会发展统计公报 - 国家统计局.html,2024,9
个人按揭贷款,亿元,15661,-27.9,中华人民共和国2024年国民经济和社会发展统计公报 - 国家统计局.html,2024,9
