指标,单位,绝对数,比上年增长（%）,来源文件,年份,表格编号
投资额,亿元,147602,4.4,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,24
其中：住宅,亿元,111173,6.4,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,24
房屋施工面积,万平方米,975387,5.2,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,24
其中：住宅,万平方米,690319,5.3,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,24
房屋新开工面积,万平方米,198895,-11.4,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,24
其中：住宅,万平方米,146379,-10.9,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,24
房屋竣工面积,万平方米,101412,11.2,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,24
其中：住宅,万平方米,73016,10.8,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,24
商品房销售面积,万平方米,179433,1.9,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,24
其中：住宅,万平方米,156532,1.1,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,24
本年到位资金,亿元,201132,4.2,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,24
其中：国内贷款,亿元,23296,-12.7,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,24
个人按揭贷款,亿元,32388,8.0,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,24
