国家和地区,出口额（亿元）,比上年增长（%）,占全部出口比重（%）,进口额（亿元）,比上年增长（%）,占全部进口比重（%）,来源文件,年份,表格编号
东盟,37907,21.7,15.8,27247,6.8,15.1,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,28
欧盟,37434,11.9,15.6,19034,-4.9,10.5,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,28
美国,38706,4.2,16.2,11834,1.9,6.5,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,28
韩国,10843,13.0,4.5,13278,-3.7,7.3,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,28
日本,11537,7.7,4.8,12295,-7.5,6.8,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,28
中国台湾,5423,7.2,2.3,15840,-1.8,8.8,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,28
中国香港,19883,-12.0,8.3,527,-16.0,0.3,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,28
俄罗斯,5123,17.5,2.1,7638,48.6,4.2,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,28
巴西,4128,19.3,1.7,7294,2.6,4.0,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,28
印度,7896,25.5,3.3,1160,-36.2,0.6,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,28
南非,1615,18.6,0.7,2173,2.0,1.2,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,28
