指标,年末数（万人）,比重（%）,,来源文件,年份,表格编号
全国人口,140967,100.0,,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,18
其中：城镇,93267,66.2,,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,18
乡村,47700,33.8,,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,18
其中：男性,72032,51.1,,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,18
女性,68935,48.9,,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,18
其中：0-15岁（含不满16周岁）[6],24789,17.6,,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,18
16-59岁（含不满60周岁）,86481,61.3,,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,18
60周岁及以上,29697,21.1,,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,18
其中：65周岁及以上,21676,15.4,,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,18
