行业,企业数（家）,比上年增长（%）,实际使用金额（亿元）,比上年增长（%）,来源文件,年份,表格编号
总计,53766,39.7,11339,-8.0,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,31
其中：农、林、牧、渔业,418,-0.5,51,-36.8,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,31
制造业,3624,1.5,3179,-1.8,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,31
电力、热力、燃气及水生产和供应业,568,8.6,319,15.6,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,31
交通运输、仓储和邮政业,867,44.0,149,-57.2,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,31
信息传输、软件和信息技术服务业,3764,23.0,1134,-26.7,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,31
批发和零售业,18010,65.3,690,-28.2,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,31
房地产业,684,17.7,810,-11.4,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,31
租赁和商务服务业,10673,42.8,1819,-15.4,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,31
居民服务、修理和其他服务业,726,76.6,34,77.7,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,31
